"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"USW00014764","43.64222","-70.30444","13.7","2013-11-13","27","36","17"
"USW00014764","43.64222","-70.30444","13.7","2013-11-14","36","50","28"
"USW00014764","43.64222","-70.30444","13.7","2013-11-15","38","53","24"
"USW00014764","43.64222","-70.30444","13.7","2013-11-16","40","53","30"
"USW00014764","43.64222","-70.30444","13.7","2013-11-17","41","52","32"
"USW00014764","43.64222","-70.30444","13.7","2013-11-18","55","64","46"
"USW00014764","43.64222","-70.30444","13.7","2013-11-19","42","47","30"
"USW00014764","43.64222","-70.30444","13.7","2013-11-20","33","41","22"
"USW00014764","43.64222","-70.30444","13.7","2013-11-21","31","48","19"
"USW00014764","43.64222","-70.30444","13.7","2013-11-22","36","40","32"
"USW00014764","43.64222","-70.30444","13.7","2013-11-23","38","43","27"
"USW00014764","43.64222","-70.30444","13.7","2013-11-24","25","28","19"
"USW00014764","43.64222","-70.30444","13.7","2013-11-25","22","31","17"
"USW00014764","43.64222","-70.30444","13.7","2013-11-26","30","34","27"
"USW00014764","43.64222","-70.30444","13.7","2013-11-27","45","58","33"
"USW00014764","43.64222","-70.30444","13.7","2013-11-28","35","40","18"
"USW00014764","43.64222","-70.30444","13.7","2013-11-29","22","30","14"
"USW00014764","43.64222","-70.30444","13.7","2013-11-30","21","30","12"
"USW00014764","43.64222","-70.30444","13.7","2013-12-01","31","35","30"
"USW00014764","43.64222","-70.30444","13.7","2013-12-02","35","37","33"
"USW00014764","43.64222","-70.30444","13.7","2013-12-03","38","46","28"
"USW00014764","43.64222","-70.30444","13.7","2013-12-04","33","40","23"
"USW00014764","43.64222","-70.30444","13.7","2013-12-05","31","37","24"
"USW00014764","43.64222","-70.30444","13.7","2013-12-06","40","46","33"
"USW00014764","43.64222","-70.30444","13.7","2013-12-07","35","38","22"
"USW00014764","43.64222","-70.30444","13.7","2013-12-08","26","29","19"
"USW00014764","43.64222","-70.30444","13.7","2013-12-09","29","35","25"
"USW00014764","43.64222","-70.30444","13.7","2013-12-10","30","33","20"
"USW00014764","43.64222","-70.30444","13.7","2013-12-11","24","30","17"
"USW00014764","43.64222","-70.30444","13.7","2013-12-12","18","21","10"
"USW00014764","43.64222","-70.30444","13.7","2013-12-13","17","26","6"
"USW00014764","43.64222","-70.30444","13.7","2013-12-14","8","14","3"
"USW00014764","43.64222","-70.30444","13.7","2013-12-15","14","21","6"
"USW00014764","43.64222","-70.30444","13.7","2013-12-16","18","25","6"
"USW00014764","43.64222","-70.30444","13.7","2013-12-17","7","14","-6"
"USW00014764","43.64222","-70.30444","13.7","2013-12-18","20","31","12"
"USW00014764","43.64222","-70.30444","13.7","2013-12-19","27","36","21"
"USW00014764","43.64222","-70.30444","13.7","2013-12-20","32","45","26"
"USW00014764","43.64222","-70.30444","13.7","2013-12-21","35","38","33"
"USW00014764","43.64222","-70.30444","13.7","2013-12-22","32","35","27"
"USW00014764","43.64222","-70.30444","13.7","2013-12-23","29","33","27"
"USW00014764","43.64222","-70.30444","13.7","2013-12-24","30","33","16"
"USW00014764","43.64222","-70.30444","13.7","2013-12-25","15","20","5"
"USW00014764","43.64222","-70.30444","13.7","2013-12-26","18","25","12"
"USW00014764","43.64222","-70.30444","13.7","2013-12-27","21","32","7"
"USW00014764","43.64222","-70.30444","13.7","2013-12-28","27","37","18"
"USW00014764","43.64222","-70.30444","13.7","2013-12-29","29","35","20"
"USW00014764","43.64222","-70.30444","13.7","2013-12-30","29","35","8"
"USW00014764","43.64222","-70.30444","13.7","2013-12-31","8","13","1"
"USW00014764","43.64222","-70.30444","13.7","2014-01-01","12","22","0"
"USW00014764","43.64222","-70.30444","13.7","2014-01-02","4","12","-6"
"USW00014764","43.64222","-70.30444","13.7","2014-01-03","-1","9","-10"
"USW00014764","43.64222","-70.30444","13.7","2014-01-04","1","23","-14"
